Metabolite,Param,mean,sd,X2.5.,X50.,X97.5.,Rhat,Z.x,P_GT_LT_0,SIG_BAYES,Estimate,StdErr,Z.y,P-value,P.Bon,P.BH,SIG_BH,SIG_BON,SIG.RAW
phenylalanine,beta_x[22],0.32099480667233904,0.13511242791804964,0.06244158895845471,0.31891256714707855,0.5858225898037693,0.9996078247321565,2.375760776551462,0.99275,TRUE,0.3584230035789085,0.14198168283454557,2.5244312958072688,0.01158856545029783,0.31289126715804144,0.020859417810536095,TRUE,FALSE,TRUE
ornithine,beta_x[21],0.22797071231382418,0.09372603330741822,0.04603641622252796,0.22698473782857254,0.41329683976604586,0.9990951842769087,2.4323094050730596,0.99125,TRUE,0.2035574661821448,0.0895795452411923,2.2723654784590357,0.02306444497392765,0.6227400142960465,0.03663176554682627,TRUE,FALSE,TRUE
choline,beta_x[7],0.19718674331915145,0.10715965396609742,-0.01204008580406667,0.19646136764847633,0.4083897213107898,0.999480763310842,1.840121127878374,0.96725,FALSE,0.15788748814199027,0.10091334437620532,1.5645848338291628,0.11768028726566794,1,0.15886838780865173,FALSE,FALSE,FALSE
creatine,beta_x[9],0.22863266944227084,0.12600820129413287,-0.013435905022150647,0.22608692283285545,0.4802412362115647,0.9993541313607086,1.8144268951874667,0.96475,FALSE,0.25386580804682446,0.13361833782340163,1.8999323908844714,0.05744199265629031,1,0.08616298898443547,FALSE,FALSE,FALSE
pyruvate,beta_x[25],0.2202378718591398,0.12933028337025973,-0.030628231391670615,0.21932199739870617,0.4781179645545689,0.9993132140215292,1.7029103015928657,0.95825,FALSE,0.24531529268905597,0.13584413756167366,1.8058585161813263,0.07094044235531827,1,0.10081010229439964,FALSE,FALSE,FALSE
leucine,beta_x[17],0.1728128589040677,0.12520034810163239,-0.06553113236840816,0.17132981234033867,0.4250870397276707,0.9992239373028804,1.3802905624813877,0.9175,FALSE,0.19161159540607767,0.13526342692294085,1.4165809617941898,0.15660547796456792,1,0.20134990024015878,FALSE,FALSE,FALSE
hydroxybutyrate,beta_x[1],0.1555423575944152,0.12644379197879724,-0.08983507581973475,0.15343563882684003,0.4064064000379645,0.9992317733121364,1.2301304410460687,0.89175,FALSE,0.1604620148417263,0.13067102442078057,1.2279846703046746,0.2194527226835133,1,0.26932834147522083,FALSE,FALSE,FALSE
valine,beta_x[27],0.14487605341551069,0.1259531971949288,-0.10100679404412694,0.14390431031960885,0.3962859258850957,0.9996225105153385,1.1502372043108704,0.87525,FALSE,0.16011566929904944,0.13468783799421127,1.1887908491480206,0.23452197986473933,1,0.2753084111455636,FALSE,FALSE,FALSE
isoleucine,beta_x[15],0.08310452289206229,0.10440297695054436,-0.12001260935923355,0.08269594551215348,0.29084591434780116,0.9992967400461248,0.7959976364603938,0.7855,FALSE,0.06280725125569883,0.09876131578689046,0.6359499238672136,0.5248090614605103,1,0.5760791743053004,FALSE,FALSE,FALSE
X3.hydoxybutyrate,beta_x[3],0.07410832224349702,0.12251057544187732,-0.16712365496564116,0.07372377015325252,0.312424164425627,0.9996007605669055,0.6049136735844998,0.7265,FALSE,0.08022506837221548,0.12881060148931134,0.622814174024896,0.5334066428752782,1,0.5760791743053004,FALSE,FALSE,FALSE
oxoisocaproate,beta_x[2],-0.04681682627269137,0.10154554485130349,-0.24850069704501226,-0.04767953634151906,0.15322021001887123,1.0002157956724367,-0.46104264191252115,0.6755,FALSE,-0.04711365936535148,0.09442804308226369,-0.4989371570933337,0.6178236564693824,1,0.6415861047951279,FALSE,FALSE,FALSE
glucose,beta_x[11],0.03959622495579667,0.13070132650501345,-0.2171821876672443,0.039923444124930284,0.2988107345074127,0.9995267510477779,0.3029519746632245,0.62125,FALSE,0.042932016291314046,0.13324467151853706,0.32220437637043764,0.7472978692767449,1,0.7472978692767449,FALSE,FALSE,FALSE
