Metabolite,Param,mean,sd,X2.5.,X50.,X97.5.,Rhat,Z.x,P_GT_LT_0,SIG_BAYES,Estimate,StdErr,Z.y,P-value,P.Bon,P.BH,SIG_BH,SIG_BON,SIG.RAW
X3,beta_x[2],0.2716909836964741,0.20585602460068267,-0.02157328561461485,0.23822724542518003,0.7755336580215993,1.0056202685235316,1.3198106988780016,0.96,FALSE,0.9147064219458849,0.2755203557511157,3.319923202959863,9.004221413508834e-4,0.03691730779538622,0.03691730779538622,TRUE,TRUE,TRUE
X12,beta_x[10],-0.15407679406035474,0.11807475688256543,-0.42087608569487317,-0.14426859615144333,0.03862213003428273,1.0032110442233648,-1.3049088401985545,0.9255,FALSE,-0.32556443081341785,0.1399907400707181,-2.3256140416784343,0.020039149813221642,0.8216051423420874,0.21965824051081595,FALSE,FALSE,TRUE
X70,beta_x[39],-0.1852724535726371,0.14995729646987777,-0.5266148911647994,-0.16556217425469075,0.045498550619398136,1.0065158385275752,-1.235501425633218,0.91925,FALSE,-0.49206197910504695,0.18841928747405184,-2.611526588926366,0.00901389782387577,0.36956981077890655,0.18478490538945327,FALSE,FALSE,TRUE
X6,beta_x[5],-0.14287444392293047,0.12084180876361314,-0.4192038686392761,-0.1293345176936574,0.056597931877065535,1.0021606921867858,-1.1823262609583813,0.90225,FALSE,-0.37765565095049175,0.16417523560797007,-2.3003204445053225,0.021430072244957653,0.8786329620432638,0.21965824051081595,FALSE,FALSE,TRUE
X8,beta_x[7],-0.12762163676427563,0.1102314581869254,-0.37071775113960587,-0.1176402283047488,0.05400695405156574,1.0009950048664182,-1.1577605781814186,0.8895,FALSE,-0.28976393817621604,0.1591041949989355,-1.821221232904354,0.06857323412302584,1,0.4016432284348656,FALSE,FALSE,FALSE
X48,beta_x[30],-0.08847139667205743,0.08405412352791912,-0.2640949065506996,-0.08438648020932535,0.06381241376448642,1.0012964190177134,-1.0525527238728638,0.85375,FALSE,-0.13241674651182805,0.09707176941209263,-1.3641118042227873,0.17253238018152078,1,0.6046469216451996,FALSE,FALSE,FALSE
X76,beta_x[41],-0.08534717863416863,0.08744137728000778,-0.27058195621006703,-0.08028392884480526,0.07186353171676256,0.9999024736410944,-0.9760502554856492,0.84925,FALSE,-0.16235509953457755,0.1202502193787173,-1.3501438947338191,0.1769698307254243,1,0.6046469216451996,FALSE,FALSE,FALSE
X34,beta_x[22],-0.11964067067072419,0.12450689143594873,-0.40302176758535396,-0.105390409228881,0.08524494751255435,1.0014239842102721,-0.9609160528457341,0.84625,FALSE,-0.36529641358909665,0.192478122888005,-1.8978593936187096,0.057714606718268315,1,0.4016432284348656,FALSE,FALSE,FALSE
X23,beta_x[15],-0.10759132230391777,0.1085898844245846,-0.344285214616112,-0.09751291091772901,0.07503855788594815,1.0028975923205843,-0.9908042804727328,0.84275,FALSE,-0.2420198838613757,0.14614988899271286,-1.6559703570725461,0.09772782199772338,1,0.5008550877383323,FALSE,FALSE,FALSE
X27,beta_x[18],0.09970589782044205,0.11014632946484729,-0.08730017533234144,0.08746893591210886,0.3516947719416402,1.0025345473305876,0.9052130770482256,0.83275,FALSE,0.25664026849978816,0.16202453404912756,1.5839593059528385,0.11320297993693705,1,0.5157024641571577,FALSE,FALSE,FALSE
X4,beta_x[3],0.09224141756069155,0.09943449309706381,-0.08239344098365149,0.08589725780262736,0.30763061423052385,1.0003929389046828,0.9276601578352627,0.83075,FALSE,0.19717253066144633,0.1370583529355367,1.4386028026630628,0.1502630918397245,1,0.6046469216451996,FALSE,FALSE,FALSE
X50,beta_x[31],-0.10899838915539804,0.12426626111852433,-0.38993130898202877,-0.0928751220688708,0.0923783910471719,1.0029158054815397,-0.877135822501621,0.813,FALSE,-0.38254255429890044,0.20980505700344804,-1.823323802402978,0.06825436333833543,1,0.4016432284348656,FALSE,FALSE,FALSE
X24,beta_x[16],-0.06697006124616625,0.10734636837784386,-0.30581505185203123,-0.05836644714386604,0.13339436705424534,1.0015748958792152,-0.6238689045393805,0.73775,FALSE,-0.16349359449908743,0.15437737850903765,-1.0590515014446633,0.2895763254928432,1,0.7420393340754107,FALSE,FALSE,FALSE
X32,beta_x[21],-0.06537600516299957,0.10453754842041234,-0.28767863512169334,-0.05697897131894643,0.12594434387963252,1.0004656552277478,-0.6253829954006654,0.736,FALSE,-0.15931960858838773,0.16730276265295416,-0.9522831904388432,0.3409533804762003,1,0.7701136445746889,FALSE,FALSE,FALSE
X51,beta_x[32],-0.07291051858625358,0.11366813603582861,-0.3242556914272593,-0.06273009307845007,0.12134243950650975,1.0004990956950877,-0.6414332206808768,0.73275,FALSE,-0.22541193195745607,0.19746563550057983,-1.141524860191657,0.25365157270530597,1,0.7420393340754107,FALSE,FALSE,FALSE
