label,tp,fn,fp,tn,avg_mag_error,num_sign_error,n_sig,n_true,N_SIM,N_SAMPLE,FRAC_SIG,MISSING_RATE
bayes,4,7,0,16,0.7254334174360715,0,4,11,1,100,0.4,0.3
raw,10,1,0,16,1.1962873702620362,0,10,11,1,100,0.4,0.3
bon,3,8,0,16,1.5460570400187637,0,3,11,1,100,0.4,0.3
bh,6,5,0,16,1.4057171596269917,0,6,11,1,100,0.4,0.3
