MISSING_RATE,FRAC_SIG,N_SAMPLE,label,tp,fn,fp,tn,avg_mag_error,num_sign_error,n_sig,n_true,N_SIM,avg_mag_error_obs,fdr,tpr,fpr,ppv,f1
0,0.1,25,bayes,50,550,30,4770,0.1892823232796579,0,80,600,20100,194,0.375,0.08333333333333333,0.00625,0.625,0.07352941176470588
0,0.1,25,bh,17,583,1,4799,0.20658914190293326,0,18,600,20100,200,0.05555555555555555,0.028333333333333332,2.0833333333333335e-4,0.9444444444444444,0.027508090614886727
0,0.1,25,bon,15,585,1,4799,0.19654487466362924,0,16,600,20100,200,0.0625,0.025,2.0833333333333335e-4,0.9375,0.02435064935064935
0,0.1,25,raw,214,386,211,4589,1.3047449700328753,0,425,600,20100,163,0.4964705882352941,0.3566666666666667,0.043958333333333335,0.5035294117647059,0.20878048780487804
0,0.1,50,bayes,132,468,71,4729,0.3202827939629716,0,203,600,20100,195,0.3497536945812808,0.22,0.014791666666666667,0.6502463054187192,0.1643835616438356
0,0.1,50,bh,144,456,22,4778,0.7271363700784462,0,166,600,20100,197,0.13253012048192772,0.24,0.004583333333333333,0.8674698795180723,0.18798955613577023
0,0.1,50,bon,118,482,5,4795,0.7075398798258167,0,123,600,20100,198,0.04065040650406504,0.19666666666666666,0.0010416666666666667,0.959349593495935,0.16320885200553248
0,0.1,50,raw,367,233,253,4547,1.2660393298806452,0,620,600,20100,182,0.4080645161290323,0.6116666666666667,0.052708333333333336,0.5919354838709677,0.3008196721311476
0,0.1,75,bayes,199,401,79,4721,0.4117609022031731,0,278,600,20100,196,0.2841726618705036,0.33166666666666667,0.016458333333333332,0.7158273381294964,0.22665148063781324
0,0.1,75,bh,264,336,26,4774,0.9248588586135321,0,290,600,20100,197,0.0896551724137931,0.44,0.005416666666666667,0.9103448275862069,0.2966292134831461
0,0.1,75,bon,219,381,6,4794,0.8953557693205344,0,225,600,20100,197,0.02666666666666667,0.365,0.00125,0.9733333333333334,0.2654545454545455
0,0.1,75,raw,436,164,227,4573,1.1453267067309663,0,663,600,20100,194,0.34238310708898945,0.7266666666666667,0.04729166666666667,0.6576168929110106,0.3452098178939034
0,0.1,100,bayes,316,284,70,4730,0.5903436722932013,0,386,600,20100,200,0.18134715025906736,0.5266666666666666,0.014583333333333334,0.8186528497409327,0.32048681541582147
0,0.1,100,bh,348,252,34,4766,1.025591930698604,0,382,600,20100,200,0.08900523560209424,0.58,0.007083333333333333,0.9109947643979057,0.3543788187372709
0,0.1,100,bon,312,288,5,4795,1.0196099643945196,0,317,600,20100,200,0.015772870662460567,0.52,0.0010416666666666667,0.9842271293375394,0.34023991275899673
0,0.1,100,raw,482,118,253,4547,1.1172558483987889,0,735,600,20100,199,0.3442176870748299,0.8033333333333333,0.052708333333333336,0.6557823129251701,0.3610486891385768
0,0.1,150,bayes,431,169,52,4748,0.7201908655732696,0,483,600,20100,200,0.10766045548654245,0.7183333333333334,0.010833333333333334,0.8923395445134575,0.39796860572483844
0,0.1,150,bh,443,157,22,4778,1.0531978942002278,0,465,600,20100,200,0.047311827956989246,0.7383333333333333,0.004583333333333333,0.9526881720430107,0.415962441314554
0,0.1,150,bon,414,186,4,4796,1.0598075109450837,0,418,600,20100,200,0.009569377990430622,0.69,8.333333333333334e-4,0.9904306220095693,0.4066797642436149
0,0.1,150,raw,511,89,212,4588,1.060841702551876,0,723,600,20100,199,0.29322268326417705,0.8516666666666667,0.04416666666666667,0.7067773167358229,0.3862433862433862
0,0.2,25,bayes,132,1068,29,4171,0.33775780452174337,0,161,1200,20100,196,0.18012422360248448,0.11,0.006904761904761905,0.8198757763975155,0.0969875091844232
0,0.2,25,bh,50,1150,2,4198,0.3385071860701342,0,52,1200,20100,199,0.038461538461538464,0.041666666666666664,4.761904761904762e-4,0.9615384615384616,0.039936102236421724
0,0.2,25,bon,24,1176,1,4199,0.2946533999502972,0,25,1200,20100,199,0.04,0.02,2.380952380952381e-4,0.96,0.01959183673469388
0,0.2,25,raw,419,781,154,4046,1.5694965651141919,2,573,1200,20100,180,0.268760907504363,0.3491666666666667,0.03666666666666667,0.731239092495637,0.23632261703327692
0,0.2,50,bayes,432,768,58,4142,0.6652247760892711,1,490,1200,20100,196,0.11836734693877551,0.36,0.01380952380952381,0.8816326530612245,0.2556213017751479
0,0.2,50,bh,392,808,19,4181,1.0770115311496922,0,411,1200,20100,199,0.046228710462287104,0.32666666666666666,0.004523809523809524,0.9537712895377128,0.24332712600869025
0,0.2,50,bon,268,932,4,4196,1.056869118134921,0,272,1200,20100,199,0.014705882352941176,0.22333333333333333,9.523809523809524e-4,0.9852941176470589,0.18206521739130432
